artist_id,artist_name,top_links
0JjPiLQNgAFaEkwoy56B1C,L7NNON,"WC no Beat, Mc Don Juan, Tropkillaz, Mc Poze do Rodo, Neo Beats, Mc Kevin, Ferrugem, Kawe, Mc Dricka, Mc Pedrinho"
51J0q8S7W3kIEYHQi3EPqk,Bayside,"Trevor Daniel, Cam’ron, Lost Frequencies, Cheat Codes, Mike Shinoda, Loud Luxury, Billie Eilish, 24kGoldn, Trippie Redd, Charlie Puth"
6jDwZUFYUH1dC4xWzOd8QU,Caleb Hyles,"Dagames, Camellia, Black Gryph0n, CG5, Or3o, Eurobeat Brony, Dan Bull, salem ilese, Samuel Kim, Alan Walker"
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,"Eladio Carrion, Becky G, Ecko, Rauw Alejandro, Cazzu, MYA, Midel, YSY A, J Balvin, Neo Pistea"
4xls23Ye9WR9yy3yYMpAMm,Little Richard,"Aretha Franklin, Nik Kershaw, Lil Nas X, Stevie Wonder, Stevie Nicks, PS1, Paul Young, PNAU, Ed Sheeran, Ozzy Osbourne"
5lCY3tqdQxbeg5igSlObaT,Nebu Kiniza,"Internet Money, Trippie Redd, Lil Uzi Vert, Offset, Lil Durk, Gunna, Zaytoven, 21 Savage, NAV, Ty Dolla $ign"
1uaDw0T6O916Kv8TxJsQzb,PaulWetz,"Dillistone, Mark Eliyahu, Scott Rill, Sena Şener, SOMMA, Alle Farben, yuma., Filatov & Karas, Sofi Tukker, Nu Aspect"
27ze6hCgfr3HcDZAHY60pg,Låpsley,"Gallant, MEMBA, ford., Ólafur Arnalds, PinkPantheress, Nils Hoffmann, Izzy Bizu, Little Dragon, Kaskade, Emancipator"
1FClsNYBUoNFtGgzeG74dW,Hank Williams,"Snoop Dogg, Zac Brown Band, Zac Brown, Tim McGraw, Michael Ray, Machine Gun Kelly, Yelawolf, Sheryl Crow, T.I., Bob Seger"
1dJfjAj2mnpKrGm8ldBjNG,Agrupación Marilyn,"Survive Said The Prophet, Salve Malak, Family of the Year, lullaboy, Maribou State, Miel San Marcos, Talia Mar, Ajesh, Slowed Radio, Wax Motif"
35B6bq5keTR1PYEahq1TAF,Sasso,"Le classico organisé, GLK, Alonzo, RK, Naza, KeBlack, Sofiane, Timal, Solda, Mister You"
1cKyknhftNKXCjMBd2hDrG,DYSTINCT,"Dopebwoy, Bizzey, Mula B, Henkie T, Poke, Lijpe, Jonna Fraser, Broederliefde, JoeyAK, Boef"
4XP7cGw4t8BqZ8Du5q3bHg,Emir Can İğrek,"Anıl Piyancı, Şehinşah, Sokrat St, Sena Şener, Sansar Salvo, Hayki, Melek Mosso, Sertab Erener, Sancak, Aspova"
6rHwFb0YjWexAYxTjm4eIj,Nickoog Clk,"King Savagge, Pablo Chill-E, Cris Mj, El Barto, Julianno Sosa, El BAI, Gabo El Chamaquito, Nysix Music, Salastkbron, Yishark"
4uRYpUQZrNrY5t8tAv3XrD,NERO,"Dillon Francis, Example, Good Times Ahead, A-Trak, ODESZA, Sub Focus, Pendulum, Steve Aoki, Wilkinson, Kaskade"
74YbW6s8CZdaYLxJU9HeS7,Mister You,"Alonzo, YL, SCH, GIMS, Ninho, Elams, Kaaris, Soso Maness, Soolking, Naza"
7mX72Bq2iXNr8fZdu23fQL,Boslen,"Enrique Iglesias, Caskey, French Montana, Carly Rae Jepsen, Destiny Rogers, Trippie Redd, Yo Gotti, JoJo, Pressa, Oliver Heldens"
22wbnEMDvgVIAGdFeek6ET,Benson Boone,"Survive Said The Prophet, Salve Malak, Family of the Year, lullaboy, Maribou State, Miel San Marcos, Talia Mar, Ajesh, Slowed Radio, Wax Motif"
0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,"Sonu Nigam, Kalyanji-Anandji, Udit Narayan, Lata Mangeshkar, Asha Bhosle, Armaan Malik, Alka Yagnik, Richa Sharma, R. D. Burman, Shankar Mahadevan"
4JDI31jWR7BBBBzw9kmu7Z,Jeff Lewis,"Survive Said The Prophet, Salve Malak, Family of the Year, lullaboy, Maribou State, Miel San Marcos, Talia Mar, Ajesh, Slowed Radio, Wax Motif"
7aA592KWirLsnfb5ulGWvU,Danny Brown,"Lil Yachty, Pusha T, Tom Morello, A$AP Ferg, Mura Masa, ScHoolboy Q, Lil Wayne, Travis Barker, Kendrick Lamar, ZHU"
29b16XDtyMXDrfo2hZ69wf,ADSO,"Brray, Myke Towers, Noriel, Cauty, Brytiago, Eix, Farruko, Gera MX, Pablo Chill-E, Lenny Tavárez"
0Yg29FX1M4ayqjXs0ttZFq,Young Cister,"Yung Beef, Ñengo Flow, Galee Galee, Tunechikidd, Gino Mella, Simon la Letra, Gabo El Chamaquito, Lleflight, Arte Elegante, El Barto"
7fT2Me47PQ8T7954PKrcwR,Bhavi,"Duki, Pablo Chill-E, Dayme y El High, C.R.O, Gera MX, L-Gante, Noriel, Mesita, Brray, Polimá Westcoast"
0NSO0g40h9CTj13hKPskeb,Ibrahim Maalouf,"-M-, Bigflo & Oli, Claudio Capéo, Vianney, Zaz, Renaud, Dub Inc, Tom Walker, Black M, Tayc"
